Wooden chest,"{'Time': '0.5', 'Wood': '2'}",{'Wooden chest': '1 '},"{'Prototype type': 'container', 'Health': '100', 'Storage size': '16', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': 'None required', 'Internal name': 'wooden-chest', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Dimensions': '1×1'}"
Iron chest,"{'Time': '0.5', 'Iron plate': '8'}",{'Iron chest': '1 '},"{'Prototype type': 'container', 'Health': '200', 'Storage size': '32', 'Dimensions': '1×1', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': 'None required', 'Internal name': 'iron-chest', 'Mining time': '0.2', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/80%, Impact: 0/30%'}"
Steel chest,"{'Time': '0.5', 'Steel plate': '8'}",{'Steel chest': '1 '},"{'Required technologies': ['Steel processing (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Active provider chest', 'Buffer chest', 'Passive provider chest', 'Requester chest', 'Storage chest'], 'Prototype type': 'container', 'Health': '350', 'Storage size': '48', 'Resistances': 'Fire: 0/90%, Impact: 0/60%', 'Stack size': '50', 'Internal name': 'steel-chest', 'Mining time': '0.2', 'Map color': ['background-color:#006090'], 'Dimensions': '1×1'}"
Storage tank,"{'Time': '3', 'Iron plate': '20', 'Steel plate': '5'}",{'Storage tank': '1 '},"{'Prototype type': 'storage-tank', 'Health': '500', 'Storage size': '25000', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Fluid handling (research)'], 'Internal name': 'storage-tank', 'Mining time': '0.5', 'Map color': ['background-color:#006090'], 'Dimensions': '3×3', 'Consumed by': ['Fluid wagon']}"
Transport belt,"{'Time': '0.5', 'Iron plate': '1', 'Iron gear wheel': '1'}",{'Transport belt': '2'},"{'Required technologies': 'None required', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Fast transport belt', 'Lab', 'Logistic science pack', 'Splitter', 'Underground belt'], 'Prototype type': 'transport-belt', 'Health': '150', 'Belt speed': '15 Items/s', 'Dimensions': '1×1', 'Stack size': '100', 'Internal name': 'transport-belt', 'Mining time': '0.1', 'Map color': ['background-color:#c8a040'], 'Resistances': 'Fire: 0/90%'}"
Fast transport belt,"{'Time': '0.5', 'Iron gear wheel': '5', 'Transport belt': '1'}",{'Fast transport belt': '1 '},"{'Required technologies': ['Logistics 2 (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Express transport belt'], 'Prototype type': 'transport-belt', 'Health': '160', 'Belt speed': '30 Items/s', 'Dimensions': '1×1', 'Stack size': '100', 'Internal name': 'fast-transport-belt', 'Mining time': '0.1', 'Map color': ['background-color:#c8a040'], 'Resistances': 'Fire: 0/50%'}"
Express transport belt,"{'Time': '0.5', 'Fast transport belt': '1', 'Iron gear wheel': '10', 'Lubricant': '20'}",{'Express transport belt': '1 '},"{'Prototype type': 'transport-belt', 'Health': '170', 'Belt speed': '45 Items/s', 'Resistances': 'Fire: 0/50%', 'Produced by': ['Assembling machine 2', 'Assembling machine 3'], 'Stack size': '100', 'Required technologies': ['Logistics 3 (research)'], 'Internal name': 'express-transport-belt', 'Mining time': '0.1', 'Map color': ['background-color:#c8a040'], 'Dimensions': '1×1'}"
Underground belt,"{'Time': '1', 'Iron plate': '10', 'Transport belt': '5'}",{'Underground belt': '2'},"{'Required technologies': ['Logistics (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Fast underground belt'], 'Prototype type': 'underground-belt', 'Health': '150', 'Belt speed': '15 Items/s', 'Dimensions': '1×1', 'Stack size': '50', 'Internal name': 'underground-belt', 'Mining time': '0.1', 'Map color': ['background-color:#887000'], 'Resistances': 'Fire: 0/60%, Impact: 0/30%'}"
Fast underground belt,"{'Time': '2', 'Iron gear wheel': '40', 'Underground belt': '2'}",{'Fast underground belt': '2'},"{'Required technologies': ['Logistics 2 (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Express underground belt'], 'Prototype type': 'underground-belt', 'Health': '160', 'Belt speed': '30 Items/s', 'Dimensions': '1×1', 'Stack size': '50', 'Internal name': 'fast-underground-belt', 'Mining time': '0.1', 'Map color': ['background-color:#887000'], 'Resistances': 'Fire: 0/60%, Impact: 0/30%'}"
Express underground belt,"{'Fast underground belt': '2', 'Time': '2', 'Lubricant': '40', 'Iron gear wheel': '80'}",{'Express underground belt': '2'},"{'Prototype type': 'underground-belt', 'Health': '170', 'Belt speed': '45 Items/s', 'Resistances': 'Fire: 0/60%, Impact: 0/30%', 'Produced by': ['Assembling machine 2', 'Assembling machine 3'], 'Stack size': '50', 'Required technologies': ['Logistics 3 (research)'], 'Internal name': 'express-underground-belt', 'Mining time': '0.1', 'Map color': ['background-color:#887000'], 'Dimensions': '1×1'}"
